Dih1,Dih2,Dih3,Dih4,Dih5,Dih6,Dih7,Dih8,Dih9,Dih10,Dih11,Dih12,Dih13,Dih14,Dih15,Dih16,Dih17,Dih18,Dih19,Dih20,Dih21,Dih22,Dih23,Dih24,Dih25,Dih26,Dih27,Dih28,Dih29,Dih30,Dih31,Dih32,Dih33,Dih34,Dih35,Dih36,Dih37,Dih38,Dih39,Dih40,Dih41,Dih42,Dih43,Dih44,Dih45,Dih46,Dih47,Dih48,Dih49,Dih50,Dih51,Dih52,Dih53,Dih54,Dih55,Dih56,Dih57,Dih58,Dih59,Dih60,Dih61,Dih62,Dih63,Dih64,Dih65,Dih66,Dih67,Dih68,Dih69,Dih70,Dih71,Dih72,Dih73,Dih74,Dih75,Dih76,Dih77,Dih78,Dih79,Dih80,Dih81,Dih82,Dih83,Dih84,Dih85,Dih86,Dih87,Dih88,Dih89,Dih90,Dih91,Dih92,Dih93,Dih94,Dih95,Dih96,Dih97,Dih98,Dih99,Dih100,Dih101,Dih102,Dih103,Dih104,Dih105,Dih106,Dih107,Dih108,Dih109,Dih110,Dih111,Dih112,Dih113,Dih114,Dih115,Dih116,Dih117,Dih118,Dih119,Dih120,Dih121,Dih122,Dih123,Dih124,Dih125,Dih126,Dih127,Dih128,Dih129,Dih130,Dih131,Dih132,Dih133,Dih134,Dih135,Dih136,Dih137,Dih138,Dih139,Dih140,Dih141,Dih142,Dih143,Dih144,Dih145,Dih146,Dih147,Dih148,Dih149,Dih150,Dih151,Dih152,Dih153,Dih154,Dih155,Dih156,Dih157,Dih158,Dih159,Dih160,Dih161,Dih162,Dih163,Dih164,Dih165,Dih166,Dih167,Dih168,Dih169,Dih170,Dih171,Dih172,Dih173,Dih174,Dih175,Dih176,
-0.1657,-179.9545,179.2648,-0.5241,0.235,-179.9573,-179.1983,0.6094,118.3225,-116.4458,0.8038,-62.2623,62.9694,-179.781,179.9736,-0.09,-0.2398,179.6966,179.7114,0.3388,-0.2245,-179.5971,-179.6518,0.2865,0.2865,-179.7751,-0.0386,-179.8468,179.3813,-0.4268,-65.3446,65.851,-179.837,115.2735,-113.5309,0.781,0.2351,-179.1984,-179.9573,0.6092,-0.1656,-179.9546,179.2651,-0.524,-62.2619,62.9698,-179.7806,118.3227,-116.4456,0.804,-0.0901,179.9735,179.6967,-0.2397,-0.2246,-179.5972,179.7113,0.3387,-0.0384,-179.8466,179.3816,-0.4266,-65.3517,65.8557,-179.8381,115.2663,-113.5262,0.7799,-61.2985,61.8227,176.6335,173.1903,-63.6885,51.1223,56.1553,179.2765,-65.9127,175.9857,-64.3433,55.7104,-57.8068,61.8641,-178.0821,59.0143,178.6852,-61.261,-179.0366,-59.2585,60.6587,58.0626,177.8407,-62.2421,-57.7409,62.0372,-178.0456,-55.54,68.1495,-176.603,172.6597,-63.6508,51.5967,58.8229,-177.4875,-62.24,170.808,-68.8989,51.6641,-56.648,63.6451,-175.7919,56.9054,177.1985,-62.2385,-176.8804,-57.0411,62.9066,58.4458,178.2852,-61.7671,-56.9826,62.8568,-177.1955,-61.2968,61.8242,176.635,173.1919,-63.6871,51.1237,56.1568,179.2778,-65.9114,175.9853,-64.3438,55.71,-57.8073,61.8637,-178.0826,59.0139,178.6849,-61.2614,-179.037,-59.2589,60.6583,58.0624,177.8405,-62.2422,-57.7411,62.037,-178.0457,-55.5323,68.1572,-176.5947,172.6558,-63.6548,51.5934,58.8243,-177.4862,-62.2381,170.8003,-68.9062,51.657,-56.6444,63.6491,-175.7876,56.9037,177.1973,-62.2395,-176.8805,-57.0411,62.9065,58.4449,178.2843,-61.7681,-56.9829,62.8565,-177.1958,
0.6252,-179.1403,179.3788,-0.3866,-0.8333,178.6931,-179.5928,-0.0664,119.1312,-115.618,1.6325,-62.1503,63.1005,-179.649,-179.8268,0.389,-0.0638,-179.848,-179.5806,1.0693,0.2018,-179.1483,178.8955,-1.2326,-0.8946,178.9773,0.4849,-179.6573,179.8842,-0.2579,-65.8968,65.3812,179.6639,114.7431,-113.979,0.3037,-0.4405,-179.6431,179.7021,0.4995,-0.3161,179.2441,178.8826,-1.5573,-60.4664,64.7198,-178.1243,120.3559,-114.4579,2.698,0.9688,-178.8987,-178.5881,1.5444,1.0468,-179.1697,-179.0871,0.6963,-0.0098,-179.5372,-179.8173,0.6553,-87.1763,47.3658,161.2191,92.6129,-132.845,-18.9917,-61.1128,62.0043,176.8032,173.3345,-63.5484,51.2504,56.3091,179.4263,-65.7749,175.9922,-64.3357,55.7126,-57.7984,61.8737,-178.078,59.0224,178.6945,-61.2572,-179.0466,-59.2721,60.6283,58.0626,177.837,-62.2625,-57.7305,62.044,-178.0555,-55.2353,68.4873,-176.2914,172.8511,-63.4264,51.7949,59.0697,-177.2077,-61.9865,170.678,-69.0252,51.5458,-56.6527,63.6441,-175.7849,56.8271,177.1239,-62.3051,-176.7563,-56.9142,63.0307,58.519,178.3611,-61.694,-56.8755,62.9666,-177.0886,-60.8442,62.3274,177.0841,173.7669,-63.0615,51.6952,56.744,179.9156,-65.3277,176.2078,-64.0921,55.9,-57.4771,62.223,-177.7849,59.3342,179.0343,-60.9736,-178.805,-58.9752,60.9345,58.2047,178.0344,-62.0559,-57.5268,62.3029,-177.7874,68.0874,-168.7661,-55.0068,-68.6088,54.5377,168.297,179.3377,-57.5158,56.2436,155.2819,-85.7362,36.4735,-69.8513,49.1306,171.3403,41.9655,160.9474,-76.8429,179.7873,-60.6235,60.718,57.5241,177.1134,-61.5452,-57.6463,61.9429,-176.7156,
-0.0141,-179.8568,179.3618,-0.4809,0.0497,179.8751,-179.3293,0.4961,118.5702,-116.206,1.0525,-62.0705,63.1532,-179.5883,179.936,-0.038,-0.223,179.8031,179.895,0.5297,-0.1312,-179.4966,-179.9432,0.057,0.082,-179.9178,0.025,-179.8462,179.4382,-0.433,-65.4468,65.7484,-179.9412,115.1783,-113.6265,0.6839,0.1318,-179.3539,-179.9974,0.5169,-0.1838,179.8838,179.2993,-0.6331,-62.2311,63.0051,-179.7485,118.2997,-116.4641,0.7823,0.0793,-179.9209,-179.9889,0.0109,-0.0245,-179.9976,179.9757,0.0026,-0.0299,-179.8557,179.9453,0.1195,-66.6089,65.4679,179.6756,113.4175,-114.5057,-0.298,-61.1142,62.0096,176.8061,173.3743,-63.5019,51.2946,56.3393,179.4631,-65.7404,176.0369,-64.2871,55.7587,-57.7667,61.9093,-178.0449,59.0551,178.731,-61.2231,-179.0128,-59.2427,60.6639,58.0855,177.8556,-62.2379,-57.708,62.062,-178.0314,-55.4418,68.2561,-176.5053,172.7573,-63.5448,51.6939,58.9234,-177.3787,-62.14,170.8171,-68.8867,51.6715,-56.6223,63.6739,-175.7679,56.922,177.2182,-62.2237,-176.803,-56.9652,62.9859,58.512,178.3498,-61.699,-56.9093,62.9285,-177.1203,-61.2854,61.8307,176.6441,173.1993,-63.6846,51.1287,56.1696,179.2857,-65.901,175.9952,-64.3321,55.7158,-57.7922,61.8805,-178.0716,59.0241,178.6968,-61.2554,-179.0362,-59.2607,60.6546,58.0668,177.8423,-62.2424,-57.7359,62.0395,-178.0451,-165.641,-44.6206,70.7963,62.5102,-176.4694,-61.0525,-52.1335,68.8869,-175.6962,167.4662,-71.7266,48.6101,-60.7892,60.018,-179.6453,53.661,174.4682,-65.1951,174.8324,-65.3474,55.2869,54.5268,174.347,-65.0186,-60.6496,59.1706,179.8049,
0.5728,-179.5259,179.7922,-0.3065,-0.0411,179.6578,-179.264,0.4349,118.9214,-115.8143,1.4357,-61.877,63.3872,-179.3627,179.5404,-0.1838,-0.3597,179.916,-179.1654,1.4357,0.5561,-178.8428,178.8253,-0.7201,-0.9085,179.5461,0.0581,-179.9145,179.5018,-0.4708,-65.9263,65.1392,179.5163,114.6666,-114.268,0.1091,-0.3076,-179.7573,179.6649,0.2152,-0.0739,179.5541,179.3728,-0.9992,-62.0602,63.1887,-179.5875,118.5078,-116.2433,0.9806,0.6764,-179.7896,-178.9466,0.5874,1.2194,178.2584,-178.311,-1.2719,-0.8507,179.4526,-177.9102,2.3931,149.1187,-85.4316,31.809,-33.8835,91.5662,-151.1932,-60.9842,62.1595,176.9381,173.4369,-63.4194,51.3591,56.4438,179.5875,-65.634,175.9907,-64.3432,55.7301,-57.7596,61.9065,-178.0203,59.0153,178.6814,-61.2454,-178.9425,-59.1713,60.7276,58.1235,177.8947,-62.2064,-57.6408,62.1304,-177.9707,-55.471,68.233,-176.5435,172.8777,-63.4183,51.8052,58.9721,-177.3239,-62.1004,171.0525,-68.6431,51.8902,-56.5144,63.79,-175.6767,57.0884,177.3928,-62.0739,-176.9255,-57.0946,62.8568,58.3994,178.2304,-61.8183,-57.0217,62.8093,-177.2394,-61.2158,61.9055,176.7214,173.2584,-63.6203,51.1956,56.2255,179.3468,-65.8373,175.9738,-64.3571,55.7021,-57.7859,61.8832,-178.0576,59.0415,178.7106,-61.2302,-178.9314,-59.1419,60.7831,58.1607,177.9502,-62.1248,-57.6401,62.1493,-177.9256,-61.443,63.4636,177.4961,173.3884,-61.7049,52.3275,57.3378,-177.7555,-63.7231,175.4555,-64.7307,54.826,-56.5725,63.2413,-177.202,58.0272,177.8409,-62.6024,-177.7005,-58.0587,61.7775,57.2732,176.915,-63.2488,-57.7228,61.919,-178.2448,
0.1414,-179.8846,179.641,-0.385,0.2077,-179.763,-179.2945,0.7348,118.4504,-116.2957,0.9505,-62.061,63.1929,-179.5609,179.5739,-0.2815,-0.3998,179.7448,-179.9578,0.5964,-0.1038,-179.5496,179.7198,0.0888,-0.1407,-179.7717,0.2325,-179.8439,179.7198,-0.3566,-65.3859,65.6734,-179.943,115.1606,-113.7802,0.6034,-0.1033,-179.6751,179.9733,0.4016,-0.1609,179.8583,179.4086,-0.5722,-62.2854,62.955,-179.8013,118.1567,-116.6029,0.6409,0.279,179.9013,-179.7404,-0.1181,0.2346,-178.6102,-179.3845,1.7707,-0.3913,179.5791,178.4526,-1.5769,77.8232,-154.58,-38.2158,-100.9998,26.597,142.9611,-61.11,62.0182,176.8133,173.3274,-63.5444,51.2507,56.33,179.4582,-65.7468,176.0161,-64.3027,55.7602,-57.75,61.9312,-178.0059,59.0381,178.7193,-61.2178,-178.9766,-59.2055,60.7051,58.1037,177.8747,-62.2146,-57.6732,62.0979,-177.9915,-55.528,68.1506,-176.614,172.8024,-63.5189,51.7164,58.9065,-177.4149,-62.1795,170.8903,-68.8331,51.7295,-56.6925,63.5841,-175.8532,56.9144,177.191,-62.2464,-176.8589,-57.0212,62.9383,58.4951,178.3328,-61.7077,-56.9408,62.8969,-177.1436,-61.2327,61.8848,176.6983,173.2437,-63.6388,51.1747,56.1988,179.3164,-65.8702,175.9609,-64.3681,55.6896,-57.8247,61.8463,-178.096,59.0108,178.6818,-61.2605,-179.0284,-59.238,60.6727,58.0755,177.866,-62.2234,-57.732,62.0585,-178.0309,64.5578,-172.7697,-57.865,-64.4873,58.1852,173.0899,-178.8268,-56.1543,58.7504,172.8544,-67.8194,53.4765,-59.3266,59.9996,-178.7046,55.4933,174.8195,-63.8846,-177.7515,-58.1639,62.7914,60.3637,179.9512,-59.0934,-55.315,64.2726,-174.772,
-0.2581,179.9289,179.3193,-0.4938,0.2536,-179.6753,-179.3258,0.7452,118.3486,-116.4041,0.8333,-62.0834,63.164,-179.5987,179.9032,-0.145,-0.2859,179.6659,179.4961,0.1208,-0.4552,-179.8305,-179.4805,0.558,0.473,-179.4885,0.1052,-179.8246,179.5271,-0.4027,-65.0929,65.9668,-179.6521,115.5232,-113.4172,0.964,0.2289,-179.3423,-179.8415,0.5873,-0.2082,-179.9404,179.3607,-0.3714,-62.2871,62.9628,-179.7944,118.1556,-116.5945,0.6483,-0.1394,179.8212,179.5895,-0.45,-0.5667,-178.5771,179.473,1.4627,0.1598,-179.9119,178.1775,-1.8941,80.4479,-153.6579,-36.4359,-97.5325,28.3617,145.5837,-61.0917,62.0414,176.8351,173.3619,-63.5049,51.2888,56.3684,179.5015,-65.7048,175.9655,-64.3658,55.6865,-57.7952,61.8736,-178.0742,58.9903,178.6591,-61.2886,-178.9861,-59.2193,60.6884,58.0927,177.8594,-62.2328,-57.6857,62.0811,-178.0112,-55.6143,68.0558,-176.6917,172.7418,-63.588,51.6644,58.8249,-177.505,-62.2525,171.0416,-68.6579,51.8789,-56.5636,63.7369,-175.7263,57.0651,177.3655,-62.0976,-176.824,-56.9833,62.9686,58.542,178.3827,-61.6654,-56.9075,62.9332,-177.115,-61.2055,61.9183,176.7272,173.2565,-63.6198,51.1891,56.2244,179.3481,-65.843,175.9547,-64.3698,55.6859,-57.8196,61.8559,-178.0884,59.0007,178.6763,-61.2681,-179.026,-59.238,60.6689,58.0684,177.8564,-62.2367,-57.7343,62.0537,-178.0395,-171.1487,-48.7264,65.834,61.7932,-175.7845,-61.2241,-54.1319,68.2905,-177.1492,168.4576,-72.1318,48.9326,-66.5067,52.9038,173.9682,50.2869,169.6974,-69.2382,175.7682,-64.3551,56.2899,53.5823,173.4589,-65.8961,-62.095,57.7816,178.4267,
-0.1236,-179.9224,179.2821,-0.5167,0.2628,-179.9351,-179.146,0.6561,118.5088,-116.2549,0.9845,-62.1013,63.135,-179.6257,-179.8618,-0.1353,-0.0651,179.6614,179.6436,0.4887,-0.0807,-179.2356,-179.4247,0.2681,0.3105,-179.9966,-0.0799,-179.5255,179.1393,-0.3062,-65.2123,65.9409,-179.7455,115.6187,-113.2281,1.0854,0.0011,179.0754,179.4432,-1.4826,0.2485,-179.4194,-178.8494,1.4827,-87.8967,40.6593,157.4166,91.1592,-140.2848,-23.5275,-0.404,179.9129,179.2604,-0.4227,-0.1418,-179.6244,179.5384,0.0558,-0.128,-179.9306,179.3937,-0.4089,-65.0738,66.1317,-179.5546,115.4359,-113.3586,0.9552,-61.1883,61.9461,176.7467,173.2968,-63.5688,51.2318,56.2659,179.4003,-65.7991,175.9988,-64.3288,55.723,-57.7672,61.9051,-178.0431,59.0464,178.7188,-61.2294,-178.9824,-59.2016,60.7138,58.095,177.8757,-62.2088,-57.6956,62.0851,-177.9995,-54.9807,68.7435,-176.051,173.2681,-63.0076,52.1979,59.4388,-176.837,-61.6314,171.031,-68.6622,51.8701,-56.3837,63.9231,-175.5446,57.1363,177.4431,-62.0246,-176.7463,-56.919,63.0776,58.5223,178.3496,-61.6538,-56.8591,62.9682,-177.0352,65.1252,-172.0184,-57.5975,-64.1184,58.738,173.1588,-179.7877,-56.9313,57.4895,174.4155,-65.8812,54.7945,-57.0312,62.6721,-176.6522,57.9435,177.6468,-61.6775,-179.5025,-59.9814,61.1016,58.4085,177.9296,-60.9874,-57.2493,62.2719,-176.6451,-55.2693,68.4451,-176.3408,172.9146,-63.3711,51.8431,59.0834,-177.2023,-61.9881,170.8156,-68.8908,51.6647,-56.6108,63.6829,-175.7616,56.9232,177.2169,-62.2277,-176.8029,-56.9706,62.9669,58.5098,178.3421,-61.7205,-56.9037,62.9286,-177.134,
0.6027,-179.1693,179.3994,-0.3727,-0.7312,178.8261,-179.5338,0.0235,119.1121,-115.6333,1.6145,-62.1247,63.13,-179.6222,-179.7562,0.2844,0.0135,-179.9459,-179.6888,1.1598,0.2703,-178.8811,179.3123,-1.0752,-0.6483,178.9642,0.3229,-179.4126,179.539,-0.1965,-65.693,65.5357,179.8193,115.141,-113.6303,0.6534,-0.512,178.5288,179.2218,-1.7374,0.0965,179.7708,-178.9683,0.7059,-87.2041,41.3646,158.064,91.818,-139.6132,-22.9139,0.4701,-179.1291,-179.2018,1.199,0.9623,-179.5012,-179.4429,0.0936,-0.0572,-179.6152,-179.6448,0.7972,-86.8403,47.6572,161.5567,92.7083,-132.7942,-18.8947,-61.0832,62.038,176.8359,173.3598,-63.519,51.2789,56.3349,179.4561,-65.746,176.015,-64.3114,55.737,-57.7654,61.9082,-178.0434,59.0529,178.7264,-61.2252,-179.0066,-59.2299,60.6654,58.0946,177.8712,-62.2335,-57.6959,62.0808,-178.0239,-54.7308,69.0132,-175.7969,173.4259,-62.8302,52.3597,59.6413,-176.6148,-61.4249,170.9957,-68.6848,51.8415,-56.3115,64.008,-175.4657,57.148,177.4676,-62.0062,-176.6478,-56.8185,63.1725,58.5846,178.4139,-61.5951,-56.7732,63.0561,-176.9528,65.1513,-172.0084,-57.5998,-64.0677,58.7727,173.1812,-179.7188,-56.8785,57.5301,174.4922,-65.7895,54.8664,-56.8973,62.821,-176.5231,58.0698,177.7882,-61.556,-179.5215,-60.0035,61.0766,58.4011,177.919,-61.0008,-57.2462,62.2717,-176.6481,67.8973,-168.9521,-55.1809,-68.7835,54.3671,168.1383,179.1479,-57.7015,56.0697,154.9365,-86.1259,36.1019,-70.2437,48.6939,170.9217,41.5792,160.5169,-77.2554,179.7687,-60.6606,60.6998,57.4938,177.0645,-61.575,-57.6711,61.8996,-176.7399,
0.0147,-179.8298,179.3487,-0.4958,0.0768,179.8902,-179.2606,0.5528,118.7787,-115.9913,1.2541,-61.9049,63.3251,-179.4295,-179.879,-0.0699,-0.0363,179.7729,179.8124,0.6546,0.0048,-179.153,-179.7037,0.0388,0.1116,179.8541,-0.0154,-179.5275,179.2064,-0.3058,-65.3129,65.8326,-179.8517,115.5153,-113.3392,0.9765,-0.0937,178.9276,179.4153,-1.5633,0.2194,-179.5771,-178.8269,1.3767,-87.8494,40.7068,157.4605,91.1524,-140.2914,-23.5377,-0.2304,-179.9646,179.564,-0.1701,0.0453,179.9904,179.7771,-0.2778,-0.1058,-179.9197,179.9449,0.131,-66.3634,65.7024,179.9125,113.5826,-114.3515,-0.1415,-61.0122,62.1233,176.9114,173.4752,-63.3893,51.3987,56.4425,179.578,-65.6339,176.0592,-64.2614,55.7799,-57.7156,61.9639,-177.9948,59.1001,178.7795,-61.1791,-178.954,-59.1795,60.7239,58.123,177.8974,-62.1992,-57.6585,62.116,-177.9806,-54.9145,68.8085,-175.9902,173.3406,-62.9364,52.2649,59.5125,-176.7644,-61.5631,171.0584,-68.6311,51.8954,-56.3566,63.9539,-175.5196,57.1608,177.4713,-62.0022,-176.7428,-56.9171,63.0808,58.526,178.3517,-61.6504,-56.8529,62.9728,-177.0293,65.1235,-172.0149,-57.5893,-64.1209,58.7407,173.1664,-179.7863,-56.9247,57.501,174.4367,-65.8584,54.813,-57.0088,62.696,-176.6325,57.9652,177.6701,-61.6584,-179.4693,-59.9461,61.1315,58.435,177.9581,-60.9642,-57.2258,62.2974,-176.625,-165.4495,-44.4092,71.0201,62.7033,-176.2564,-60.8272,-51.9364,69.1038,-175.4669,167.4198,-71.7786,48.554,-60.8253,59.9763,-179.6911,53.6181,174.4197,-65.2477,174.9047,-65.2751,55.3601,54.5766,174.3968,-64.968,-60.612,59.2082,179.8434,
0.6072,-179.5018,179.8369,-0.2721,0.0234,179.7164,-179.2101,0.4829,118.8338,-115.9031,1.3465,-61.9538,63.3093,-179.4411,179.6633,-0.2591,-0.2265,179.8511,-179.2868,1.4827,0.6349,-178.5957,179.1143,-0.6974,-0.8109,179.3774,0.0228,-179.5993,179.3111,-0.311,-65.7138,65.3035,179.6945,115.0438,-113.9389,0.452,-0.4957,178.5274,179.1241,-1.8529,0.3015,-179.9302,-178.7465,1.0218,-88.0637,40.4791,157.2565,90.9399,-140.5173,-23.7398,0.3421,-179.8511,-179.4231,0.3837,1.288,178.2368,-178.5173,-1.5685,-0.9656,179.3437,-177.9349,2.3744,149.2853,-85.2639,31.9725,-33.8092,91.6416,-151.122,-61.0652,62.073,176.8541,173.3535,-63.5083,51.2728,56.36,179.4982,-65.7206,175.946,-64.3898,55.6878,-57.8115,61.8527,-178.0697,58.9696,178.6339,-61.2885,-178.9724,-59.2032,60.6946,58.1025,177.8717,-62.2305,-57.6641,62.1051,-177.9971,-55.0382,68.6879,-176.1209,173.3547,-62.9192,52.272,59.4522,-176.8218,-61.6306,171.2134,-68.4799,52.0306,-56.3201,63.9867,-175.5028,57.2507,177.5574,-61.9321,-176.7177,-56.8949,63.1085,58.5666,178.3894,-61.6071,-56.8192,63.0036,-176.993,65.1979,-171.9421,-57.5224,-64.0447,58.8153,173.235,-179.7418,-56.8818,57.5379,174.3273,-65.9808,54.7072,-57.15,62.5419,-176.77,57.8535,177.5454,-61.7666,-179.3606,-59.8297,61.2408,58.5443,178.0752,-60.8543,-57.1248,62.4061,-176.5234,-61.4937,63.4094,177.446,173.3367,-61.7602,52.2764,57.295,-177.8019,-63.7652,175.3776,-64.796,54.742,-56.6503,63.1761,-177.2859,57.9442,177.7706,-62.6914,-177.73,-58.0891,61.7468,57.2481,176.889,-63.2751,-57.7494,61.8915,-178.2726,
