Dih1a,Dih1b,Dih2a,Dih2b,Dih3a,Dih3b,Dih4a,Dih4b
-62.2623,-61.2985,-65.3446,-55.54,-62.2619,-61.2968,-65.3517,-55.5323,
-62.1503,-61.1128,-65.8968,-55.2353,-60.4664,-60.8442,-87.1763,68.0874,
-62.0705,-61.1142,-65.4468,-55.4418,-62.2311,-61.2854,-66.6089,-165.641,
-61.877,-60.9842,-65.9263,-55.471,-62.0602,-61.2158,149.1187,-61.443,
-62.061,-61.11,-65.3859,-55.528,-62.2854,-61.2327,77.8232,64.5578,
-62.0834,-61.0917,-65.0929,-55.6143,-62.2871,-61.2055,80.4479,-171.1487,
-62.1013,-61.1883,-65.2123,-54.9807,-87.8967,65.1252,-65.0738,-55.2693,
-62.1247,-61.0832,-65.693,-54.7308,-87.2041,65.1513,-86.8403,67.8973,
-61.9049,-61.0122,-65.3129,-54.9145,-87.8494,65.1235,-66.3634,-165.4495,
-61.9538,-61.0652,-65.7138,-55.0382,-88.0637,65.1979,149.2853,-61.4937,
-62.0514,-61.0949,-65.2453,-55.0372,-88.062,65.1824,78.2577,64.5827,
-62.1765,-61.0849,-64.9689,-55.2165,-88.465,65.1183,80.6208,-171.141,
-62.2852,-61.2676,-65.417,-55.6016,-64.9267,-171.6574,-65.3139,-55.3121,
-62.1315,-61.0871,-65.8963,-55.3532,-64.6715,-171.6521,-86.7605,68.0204,
-62.0824,-61.1009,-65.5064,-55.5049,-64.8902,-171.6481,-66.5969,-165.5181,
-61.9599,-60.9889,-65.9632,-55.4943,-64.7607,-171.6537,149.2155,-61.4918,
-62.0,-61.0857,-65.4725,-55.7398,-64.7889,-171.6183,77.7503,64.6191,
-62.0548,-61.0634,-65.1886,-55.764,-64.8437,-171.6403,80.4272,-171.1147,
-62.2825,-61.2202,-65.3465,-55.3929,119.2765,-60.876,-65.4111,-55.1951,
-62.0355,-61.0175,-65.8736,-55.1386,121.0294,-60.9433,-87.5058,68.0174,
-61.8536,-61.0116,-65.5177,-55.3934,119.4552,-60.9154,-66.6489,-165.2539,
-61.9836,-61.0119,-65.8732,-55.4555,119.9724,-60.9225,149.42,-61.5457,
-62.0124,-61.0047,-65.5014,-55.5606,119.3095,-61.0673,77.8997,64.6742,
-62.0562,-61.1004,-65.1636,-55.8362,119.0607,-61.0652,80.6375,-171.2358,
-62.1706,-61.1641,-65.0132,-55.5236,73.9687,65.1925,-65.3006,-55.029,
-61.9349,-61.0283,-65.3812,-55.2584,73.6665,65.2791,-87.3739,67.5051,
-61.7975,-61.0595,-65.1076,-55.4872,74.3093,65.2198,-66.5382,-165.0173,
-62.0143,-61.0331,-65.523,-55.4385,74.2345,65.3044,149.1766,-61.4721,
-62.0873,-61.0872,-65.0695,-55.6352,73.1123,65.0445,78.2603,64.5213,
-62.1117,-61.0919,-64.7947,-55.6861,73.4596,64.9852,80.8088,-171.4265,
-62.1881,-61.2068,-65.3268,-55.3589,110.2774,-171.4629,-65.3329,-55.2381,
-62.0945,-61.0104,-65.8796,-55.2095,113.2984,-171.4106,-87.6915,67.9013,
-61.8733,-61.0006,-65.4748,-55.4669,110.4267,-171.4607,-66.5709,-165.3394,
-62.0161,-61.0576,-65.914,-55.3644,111.7692,-171.5414,149.4639,-61.5181,
-61.9905,-61.046,-65.4522,-55.6188,110.9676,-171.5432,77.9795,64.6475,
-62.1337,-61.1009,-65.0884,-55.8424,110.52,-171.541,80.5191,-171.2221,
-60.4664,-60.8442,-87.1764,68.0873,-62.1502,-61.1127,-65.8968,-55.2351,
-60.5002,-60.6651,-87.7129,68.0084,-60.4998,-60.6649,-87.7135,68.008,
-60.2707,-60.6236,-87.2558,68.0574,-62.0974,-61.0687,-67.205,-165.4799,
-60.2986,-60.5228,-87.9016,67.9783,-62.0209,-61.0003,148.7311,-61.3956,
-60.3712,-60.6008,-87.3009,68.002,-62.3011,-61.0895,77.2966,64.5311,
-60.3473,-60.6173,-86.7154,68.1617,-62.3046,-61.1173,80.0496,-171.1432,
-60.5817,-60.8703,-87.4226,67.883,-88.2182,64.871,-65.7479,-55.0414,
-60.5478,-60.6907,-87.8534,67.9203,-87.568,64.9849,-87.5567,67.7865,
-60.4075,-60.6636,-87.4819,67.8943,-88.0894,64.919,-67.0798,-165.334,
-60.3593,-60.5618,-87.8447,67.9719,-88.8507,64.8724,148.9144,-61.3959,
-60.4735,-60.5881,-87.458,67.8833,-88.8287,64.8982,77.4299,64.5495,
-60.4959,-60.6507,-87.0389,67.9481,-88.6609,64.8776,80.0605,-171.0914,
-60.4691,-60.8043,-87.1505,68.0904,-64.9688,-171.6322,-65.784,-54.999,
-60.5123,-60.6571,-87.6329,68.0143,-64.6486,-171.5854,-87.3179,67.9354,
-60.2877,-60.617,-87.2531,68.0474,-64.9263,-171.5876,-67.1237,-165.3069,
-60.2933,-60.6017,-87.7539,67.9421,-64.8051,-171.5901,148.916,-61.4098,
-60.3149,-60.5988,-87.1046,68.042,-64.7895,-171.6169,77.599,64.5778,
-60.3891,-60.641,-86.9245,68.067,-64.9273,-171.5879,79.9966,-171.1464,
-60.4944,-60.8141,-87.1357,68.1008,118.5935,-60.9199,-65.8701,-54.722,
-60.6418,-60.7068,-87.5717,68.0093,120.2295,-60.9939,-87.9978,67.9488,
-60.3593,-60.6458,-87.3037,67.9737,119.0983,-60.9177,-67.1437,-165.0876,
-60.3552,-60.5948,-87.7074,67.9235,119.4934,-60.9927,149.1388,-61.4601,
-60.3058,-60.5963,-87.258,67.938,118.4938,-61.0841,77.82,64.6053,
-60.416,-60.5709,-86.9935,67.9801,118.714,-61.0049,80.0117,-171.1512,
-60.3799,-60.8221,-86.7025,68.1513,74.291,65.1258,-65.8031,-54.6737,
-60.4982,-60.7308,-87.0415,68.1141,73.5221,65.2225,-87.9422,67.4353,
-60.3154,-60.6461,-86.9211,68.0103,74.1508,65.1459,-67.0568,-164.9289,
-60.2277,-60.5705,-87.1446,68.1008,74.116,65.2611,148.883,-61.385,
-60.2701,-60.636,-86.725,68.0594,72.9233,64.9626,77.9103,64.4592,
-60.2759,-60.5321,-86.2917,68.1703,72.9888,64.8944,80.4831,-171.371,
-60.4728,-60.7951,-87.0606,68.0669,109.9398,-171.4897,-65.7598,-54.8297,
-60.6176,-60.6703,-87.5118,68.0163,112.9108,-171.4402,-88.1222,67.8811,
-60.3386,-60.6194,-87.148,68.0316,109.0219,-171.4953,-67.0792,-165.1445,
-60.3466,-60.5145,-87.5598,67.9645,111.3706,-171.5904,149.2641,-61.4828,
-60.3153,-60.5797,-87.1373,67.9816,110.5841,-171.6179,77.7107,64.5822,
-60.4438,-60.6038,-87.0531,67.9475,110.4229,-171.5929,79.8829,-171.145,
-62.2311,-61.2854,-66.6089,-165.641,-62.0705,-61.1143,-65.4469,-55.4418,
-62.0974,-61.0686,-67.205,-165.4799,-60.2707,-60.6235,-87.2558,68.0574,
-62.0014,-61.0605,-66.7204,-165.5434,-62.0014,-61.0605,-66.719,-165.5456,
-61.8797,-60.9996,-67.2199,-165.5909,-62.036,-61.0483,148.9649,-61.4186,
-62.0699,-61.0258,-66.7641,-165.7658,-61.9274,-61.0355,77.647,64.561,
-62.1089,-61.1166,-66.3815,-165.8547,-62.1618,-61.0632,80.4197,-171.1625,
-62.184,-61.2222,-66.7735,-165.6223,-87.9197,64.7565,-65.2856,-55.2112,
-62.1586,-61.1111,-67.3524,-165.5943,-87.2082,64.8068,-87.102,67.8212,
-61.9697,-61.0498,-66.9149,-165.6467,-87.8139,64.7669,-66.604,-165.4733,
-62.0065,-61.1021,-67.308,-165.6313,-88.0345,64.8583,149.1668,-61.4632,
-61.9755,-61.0651,-66.856,-165.7038,-88.4319,64.756,77.99,64.6074,
-62.1267,-61.022,-66.5452,-165.7879,-88.2659,64.7948,80.3218,-171.1235,
-62.2063,-61.236,-66.6198,-165.5926,-64.9508,-171.6393,-65.3565,-55.2068,
-62.081,-61.0572,-67.1215,-165.4292,-64.6141,-171.632,-86.8278,67.9854,
-61.9875,-61.0534,-66.7212,-165.5282,-64.8817,-171.6318,-66.6318,-165.3728,
-61.9398,-61.0028,-67.2921,-165.6819,-64.7284,-171.6252,149.1068,-61.4782,
-62.056,-61.0768,-66.6907,-165.814,-64.7372,-171.5973,77.8754,64.6109,
-62.0247,-61.0709,-66.3615,-165.6406,-64.8871,-171.5953,80.3869,-171.1232,
-62.0483,-61.1809,-66.5696,-165.4149,119.1816,-60.9388,-65.4077,-54.938,
-62.1621,-61.1087,-67.1876,-165.5767,121.208,-60.9123,-87.6277,67.9337,
-61.9198,-61.0875,-66.763,-165.674,119.0816,-60.8238,-66.5649,-165.1343,
-62.0134,-61.0783,-67.2159,-165.7545,119.9314,-60.9672,149.2656,-61.4775,
-61.9603,-61.0654,-66.7118,-165.6574,118.8942,-61.0859,78.0753,64.7308,
-61.9558,-61.0549,-66.3202,-165.7008,118.7703,-61.0585,80.5033,-171.0957,
-62.0421,-61.2341,-66.2286,-165.6486,74.473,65.2164,-65.3591,-54.8511,
-62.1864,-61.1433,-66.625,-165.5327,72.9186,65.2731,-87.5545,67.4426,
-61.967,-61.0707,-66.436,-165.7272,73.7459,65.202,-66.395,-164.8,
-61.9208,-61.033,-66.8732,-165.8,74.4478,65.3212,149.0234,-61.4275,
-61.9534,-61.0641,-66.368,-165.7446,73.3052,64.9704,78.1083,64.5847,
-61.9075,-61.078,-65.9637,-165.8462,73.3311,65.0179,80.8598,-171.3116,
-62.0221,-61.1574,-66.5434,-165.4577,109.5663,-171.4556,-65.3383,-55.1056,
-62.162,-61.0866,-67.1306,-165.6118,113.1956,-171.392,-87.7012,67.8855,
-61.9272,-61.0931,-66.7132,-165.7744,109.8237,-171.5026,-66.5895,-165.2688,
-61.9464,-60.9848,-67.1798,-165.4901,112.161,-171.5373,149.293,-61.5036,
-61.9359,-61.0528,-66.6679,-165.8546,111.0256,-171.5617,77.9095,64.6525,
-62.056,-61.0488,-66.3148,-165.7248,110.9033,-171.5626,80.3636,-171.1103,
-62.0622,-61.2176,149.121,-61.4479,-61.8765,-60.9847,-65.9229,-55.4786,
-62.0232,-60.999,148.7136,-61.3926,-60.3042,-60.523,-87.9142,67.9607,
-62.033,-61.0483,148.9664,-61.4239,-61.8792,-61.0008,-67.2293,-165.6196,
-61.9876,-60.9545,148.3688,-61.2959,-61.9873,-60.9543,148.3796,-61.2574,
-62.0146,-61.0294,148.7975,-61.3616,-61.9942,-61.0289,77.49,64.616,
-62.0497,-61.0144,148.9872,-61.4324,-62.0683,-61.0546,80.042,-171.1163,
-62.2208,-61.2231,148.559,-61.2581,-88.2008,64.7039,-65.748,-55.2368,
-62.1114,-61.0211,148.2929,-61.196,-87.637,64.7233,-87.7225,67.6803,
-62.0608,-61.0248,148.5971,-61.2777,-87.9906,64.6962,-67.0629,-165.4725,
-61.9864,-60.9527,147.9777,-61.0854,-88.0914,64.7449,148.5256,-61.2951,
-62.116,-61.0815,148.3694,-61.2353,-88.0406,64.8788,77.4274,64.6838,
-62.1003,-61.0508,148.6251,-61.2636,-88.2469,64.7834,79.9427,-171.0795,
-62.0789,-61.1971,149.1708,-61.4493,-64.8275,-171.5678,-65.8097,-55.1725,
-62.0802,-61.0044,148.8077,-61.3357,-64.4918,-171.6337,-87.4066,67.8827,
-62.0476,-61.079,149.0459,-61.4338,-64.7338,-171.5742,-67.2048,-165.5463,
-61.9372,-61.0582,148.3002,-61.281,-64.73,-171.6246,148.4304,-61.3339,
-61.9894,-60.953,148.6576,-61.341,-64.743,-171.6035,77.52,64.6085,
-62.1183,-61.0068,149.0129,-61.4151,-64.8029,-171.6027,79.9029,-171.1925,
-62.1474,-61.1563,148.9652,-61.4331,120.5273,-60.7616,-65.877,-55.0097,
-62.1441,-61.1085,148.8644,-61.3894,122.0242,-60.8204,-87.9004,67.921,
-61.9968,-61.0123,148.9406,-61.4243,120.4864,-60.7664,-67.2667,-165.3823,
-61.9301,-60.9851,148.3382,-61.3258,120.817,-60.8405,148.4922,-61.3541,
