wv,800cm,810cm,820cm,830cm,840cm,850cm,860cm,870cm,880cm,890cm,900cm,910cm,920cm,930cm,940cm,950cm,960cm,970cm,980cm,990cm,1000cm,1010cm,1020cm,1030cm,1040cm,1050cm,1060cm,1070cm,1080cm,1090cm,1100cm,1110cm,1120cm,1130cm,1140cm,1150cm,1160cm,1170cm,1180cm,1190cm,1200cm,1210cm,1220cm,1230cm,1240cm,1250cm,1260cm,1270cm,1280cm,1290cm,1300cm,1310cm,1320cm,1330cm,1340cm,1350cm,1360cm,1370cm,1380cm,1390cm,1400cm,1410cm,1420cm,1430cm,1440cm,1450cm,1460cm,1470cm,1480cm,1490cm,1500cm,1510cm,1520cm,1530cm,1540cm,1550cm,1560cm,1570cm,1580cm,1590cm,1600cm,1610cm,1620cm,1630cm,1640cm,1650cm,1660cm,1670cm,1680cm,1690cm,1700cm,1710cm,1720cm,1730cm,1740cm,1750cm,1760cm,1770cm,1780cm,1790cm,1800cm
Conf1111,-0.011584541602979998,0.02967593133307,0.01425994124331,0.006305548100465,0.03604614433633999,0.06363799966233999,0.011555951041580002,0.004684823373415,0.006200367293713001,-0.0002518154301651,-0.012202532505129999,-0.02266764169886,-0.004645795111635,0.01574467542923,0.023208828180150003,0.001278281205606,0.0011960429040859999,0.0019474557143110002,0.009824715862984001,-0.018017183291580002,-0.0003689459935132,0.005884661721811,0.04903840911987999,0.009226216524441,-0.02349337864753,0.036992584362519995,0.028610177647799998,0.002457382102028,-0.01069897313268,-0.0009344774944237,0.001462864047778,-0.01961794749203,0.019693846060799998,0.03492175858121,-0.009922158952734001,0.0007133234223364,0.007363653751799999,0.01790169883001,-0.0010818120306360002,-0.007183808275328001,-0.010316336266309999,-0.004746885586272,-0.007766468739685999,-0.00624650995142,-0.012827638354479998,-0.05756488260664,-0.11225266073689999,-0.02870763497249,0.002411339432523,0.05977700764994,0.1210672156756,-0.08999687383747,-0.02058243369812,-0.05578349528168,0.00361246420383,0.04110157347909,0.23407408352899997,0.02098344625413,-0.04889252061904,-0.1278350296769,-0.023740448965330004,0.1938069180519,0.077997600189,-0.06086737489982,0.00361602866636,-0.04110544029372,-0.024923314636709996,-0.005733583244214001,-0.0016055365901120001,-0.001924323900782,-0.02401703342997,0.09520695324763,0.2700026851006,-0.18821985397689997,-0.03672675304392,-0.015906179753780003,-0.011176174909370002,-0.0029990174511229997,-0.001339888706833,-0.0007059939627635,-0.0003594648443292,-7.024794137731999e-05,0.000417989746203,0.002562757915775,0.007632528064954,0.0012183901095120001,0.0007141038722852,0.003471875191613,-0.00798052599178,-0.005087666228183,-0.001050075840795,-0.0004009515312991,-0.0002057400828116,-0.0001244982985565,-8.35805545343e-05,-6.020724145907e-05,-4.56075116054e-05,-3.586063853026e-05,-2.9011889506770003e-05,-2.400155348493e-05,-2.021557222446e-05
Conf1112,0.01473922148801,0.034268084847560006,0.02868543511963,0.02513185483481,0.09813479395694999,0.02877038655392,0.006939954884486001,0.0034502082995100003,0.008280483505999,-0.01570663958471,-0.09174560527869999,-0.01970557998094,-0.01388844688278,0.013002559977029999,0.002922085672314,-0.005451486009999,-0.000216122409328,0.002734527770881,0.014572378727770001,-0.0061472617461099995,0.002355417769276,0.023434252080339998,0.03298489931996,0.015225991621299999,0.007501246257726999,0.028155908663090003,0.023496499109319998,0.002138334087463,-0.004151497930779,0.0003008156878937,0.0052819357397329994,-0.02383780457111,-0.005075263441374001,0.01899965685215,0.01320880138978,0.001154188310961,-0.02329214427296,-0.006920055651613001,-0.0046100777495450005,-0.016459327337180002,0.0003288851844313,-0.0029424306885650004,-0.01608517926654,-0.008082850693069,-0.009238395052285998,-0.039932735338769995,-0.05548404851204,-0.01775920150555,0.002859242578317,0.04912148091821,0.017136189547020002,-0.022092873487009997,0.002740417633487,-0.0037652770965640003,-0.001520954859539,0.019578423718020002,0.11551229271810001,0.006429206749658001,-0.03665223754033999,-0.1145973082907,-0.02476209972692,0.180503767522,0.09448282576576,-0.04594757769427,0.01691950506151,-0.03072739098171,-0.01595931223967,0.01885659135174,0.003438231091697,-0.0006091281423041,-0.024859991459699998,0.08982829332732001,0.199043395601,-0.08422047290163001,-0.020436461015,0.003116289645535,0.01185798549396,0.002184222264739,0.001045549171041,0.0008698262490444,0.0009926137022659,0.00146654912704,0.003019839219478,0.011675459868479999,0.0241649583182,0.005253809671472999,0.004196377901849,0.01123729448331,0.02104215020576,0.009843561186817,0.0025745201617079997,0.0011929215751339999,0.0007098475360298,0.0004815241830784,0.0003535242010222,0.0002735277643331,0.000219643737177,0.0001813121864897,0.0001528896366852,0.0001311177225025,0.000113998065975
Conf1113,-0.003110308189346,0.03084733642299,0.01490046646345,0.008364829941125,0.02707758905973,0.07217831279691,0.012661670308049999,0.005606075359555,0.010593001023459997,-0.0005402863576526,-0.01841471992838,-0.046341843878140006,-0.015143744122959999,0.005793528590588,0.020427706186990004,0.06072480855064,0.01250606480062,0.006280075507208001,0.01898233881009,-0.0073861477583169995,-0.037343752555010004,-0.005906575759618,0.026157815698849996,0.03072999383717,-0.01141841749944,0.03626126552868,0.029113046635619998,1.192818471857e-05,-0.013090414553959998,-0.00111632411492,0.001008049503402,-0.006522450255850999,0.015638072118559998,0.016410023076610002,-0.0012851519897550002,-0.007763194177115,0.0025329434863970005,0.005778503405505999,-0.002233004464809,-0.002331802930986,-0.012786287373209998,-0.004239982293107,-0.008142374813338,-0.0038087057226070006,-0.006111022546966999,-0.027493550359820002,-0.04568404664758,-0.010861645301959998,0.004502903371069999,0.04507732600514,0.05554536820262,-0.0165004330446,-0.021984699269909997,-0.060134857496419995,0.09931069078969,0.01260207302865,-0.02004429330563,-0.020740551221330002,-0.024610953903369998,-0.04849819859081,-0.044843740893719994,0.15305051766670003,0.0706376302667,-0.0649430958497,-0.0007382066293756,-0.02821645650844,-0.007781617443241,0.02140474434805,0.004836771857921,0.0027498521747440006,-0.002214747508497,0.06785317367879,0.24335751969729996,-0.1819283843773,-0.023817880745279997,-0.011755212389819998,-0.008662785250824,-0.002252285021499,-0.0009392485605343,-0.0004083812012739,-6.476952192199e-05,0.0003306401877246,0.0012259994626149999,0.005597106420622,0.01686056377432,0.0027684894884709996,0.001282187598702,0.004917214512899999,-0.0128599862605,-0.00849665522526,-0.0017002708922870004,-0.0006203299766592,-0.0003008434302202,-0.0001708493120672,-0.0001072305976293,-7.210046223281999e-05,-5.097151920928e-05,-3.742664130168e-05,-2.830330625566e-05,-2.1910858908529998e-05,-1.72854744351e-05
Conf1114,-0.005612258219201,0.0009496313172972,0.0029852641395259998,-0.053264434628730005,0.06276288231365,0.17496228171320002,0.02994154412622,0.01027241967922,0.01005200113345,-0.0008288187703359,-0.004184862395191,-0.01782364501352,-0.017425027446279998,-0.003948594347655,-0.01211850033883,-0.07488615847265,-0.01185961289552,0.0018336970245360002,0.020320846403009997,-0.006096284599340999,0.001284479732192,0.00508901052225,0.02553724618787,0.03584113035569,0.0021524315564829997,0.04383919085167,0.029959895400099995,0.007755234609863001,0.008624171264638,0.007079105645627,0.01127530561705,-0.004201824666114,0.027004159579740002,0.03899064625347,0.012786200788059999,0.01916931183317,0.0034049876097249996,-9.730829733454e-05,-0.003035538262963,-0.01760947455909,-0.05131896042476,-0.01105031040664,-0.008339064060984,-0.0074809374005150005,-0.009636821145465,-0.03543863244493,-0.08618409318810999,-0.016093449790049997,-0.006232411231693,-0.0180705652677,0.054080204118089996,-0.01403575015226,-0.047302770043129994,-0.04534051514416001,-0.013894193020879998,0.09116959822708,0.04085865754015,-0.05044268763015,-0.0209538793261,0.007931239107608002,0.10403424495380001,0.07109912781625999,0.1148124369299,-0.09089737572022999,0.001033032725,-0.02372679241736,-0.04558930232202,0.03210691243293,0.005411140854699001,-0.005100128093439,-0.022328974408319997,0.0617315415771,0.04720212931473,-0.08707301160292,-0.011853975817149998,-0.007008484175680999,-0.004372307660115,-0.0014807012450410001,-0.0006878046150751,-0.0002568279524925,0.00013073855681,0.0007202522282028,0.002219579949172,0.009394723830906001,0.0365701567499,0.005953905675542,0.0020967957248210004,0.008936819220628,-0.02573719452743,-0.02841502847071,-0.005298784639419,-0.001892592949276,-0.0009220480346487,-0.0005320044855379,-0.0003414180195087,-0.0002357676391694,-0.0001717765823245,-0.000130380968333,-0.0001022028692152,-8.222675827672e-05,-6.75879241296e-05
Conf1115,-0.0001514324868028,0.0332698077029,0.01660231287485,0.004834862407096,0.006725841888535,0.03015814883726,0.005548925733425999,0.0031717685577030003,0.0071360278763939996,0.0030753247230459993,0.0003238665959286,0.006770833395816999,0.003324259790424,-0.003747667644901,-0.014070339336950002,-0.07526148311681,-0.015526943459789999,-0.003217147488088,0.002512007044384,-0.005161525968728,0.02022179647285,0.024708610062680002,0.03615924095193,0.005560353103673,-0.0032640747748009995,0.02051808881443,0.023612952175770002,0.0029729051796289997,-0.0055246557443569995,-0.007422776403710999,-0.01294142731033,-0.01365095836107,-0.006108002677394001,0.004584053399534,-0.03309491258147,0.01918886775364,0.002679052174454,0.0004891605448726,0.0008726480646703,-0.001836678051868,-0.0003936294697244,0.001374920402295,0.011198097373209998,0.0035203928456409997,-0.0022898999528660003,-0.017716910182080003,-0.02480773953422,0.02217293045266,0.007671365013016,0.040820105519730004,-0.04823855356365,-0.02380635286543,-0.03576545420169,-0.14535859523050002,-0.035158895404040005,0.1056594815153,0.03766722931867,-0.041270818296760006,-0.033127654445310004,-0.0002157529041774,0.0024326895871879996,0.03284630232186,0.019715417258339998,-0.13576907534399998,-0.01338737550926,-0.01186405250992,-0.01772939448516,-0.01470285103285,-0.004149851931439,-0.004544405997117001,-0.02082614347486,0.06938679478233001,0.17148747874429998,-0.08054727810114999,-0.044440037829059996,-0.028188210571080004,-0.014656389235280001,-0.003851837959666,-0.0017367876906529997,-0.0009636808034549,-0.0005301690801717,-9.505049261967e-05,0.0008507009463486,0.005352228159213,0.025158112793400005,0.002344793923673,-0.003724369459745,-0.01882222656073,-0.04330507136801,-0.04032748058491,-0.0082370541287,-0.0032200112596,-0.0016978769217009999,-0.001050120260672,-0.000716776419195,-0.0005230568786307,-0.0004005261257917,-0.0003180209540724,-0.0002597271155281,-0.0002169355749001,-0.0001845327477424
Conf1116,-0.007626505547437,0.022082384895240004,0.02799966267647,0.11570610832869999,-0.047480009300919994,-0.049881749785870004,-0.007661908192596,0.0002119690046217,0.01032148891667,0.0004111851122698,0.028584339203689996,0.037824042558129996,0.01943579999957,0.001843442582188,-0.009125316419798999,-0.06453778561877,-0.015191398062129999,-0.0037076251243590005,-0.003173753322283,-0.01708255773409,-0.003286532267088,0.003056577131794,0.03457535625368,0.0107173867732,-0.01819141060287,0.02306800525099,0.07234638636763001,0.01039932131031,-0.0038654037284509995,-0.012328400349260001,-0.01402946158085,-0.0123742712382,-0.03284368836198,0.01871418353959,0.009854595041280001,0.0004937588409291,-0.01212692648224,-0.0016809642929879998,-0.0005217647469851,0.001534617055404,0.02598325492927,0.004256247924059,0.003692822605713,-0.0001289505589578,-0.005143985171875001,-0.031030113625980002,-0.007732893038866999,0.01357100346093,0.00505776489842,0.02834641511869,-0.07159573837789,-0.06723993954827,-0.01569888235871,-0.001391021362444,-0.011195463131979999,0.034149394088580004,0.111629855833,0.007647359861744999,-0.0359945752451,-0.016403967189690002,-0.00167878409978,0.03841674921393,0.009311217555643,-0.1147342399604,-0.01629224276657,-0.01613284309593,-0.026735767890080003,-0.012712557597360001,-0.0034983752360220003,-0.0009252805210289,-7.67812419947e-05,0.006000335694386,0.15158156071020001,-0.127002585724,0.008039808476914,-0.01906830363054,-0.01339597132368,-0.0032944881901270004,-0.0014865243682429998,-0.000841066853109,-0.0004727719636077,-9.42888454586e-05,0.0007261561799362,0.0045423383330709995,0.0229115877426,0.0023248809339570004,-0.0032632057847379998,-0.0177060203849,-0.03337097267118,-0.0344691859485,-0.006918076369431999,-0.002687893298368,-0.001417520081232,-0.0008788402173466,-0.0006018923169535,-0.0004408846955222,-0.0003389230349719,-0.0002701486630916,-0.0002214536425896,-0.0001856235549338,-0.0001584232861895
Conf1121,-0.0031023306687,0.02097114628268,0.008859125871466,0.010542542425129997,0.02952248673668,0.04420810242875001,0.01077498560751,0.019079252731509996,0.01230222368396,0.0012247290682189998,-0.009704219320236,-0.01613989320393,-0.009154543219951,0.02049921596248,-0.021077326683509996,-0.061540480178650006,-0.008618383114509,0.001167930014848,0.021178055372020003,0.0220661328908,0.011755365150299998,0.01798783307054,0.02644811240707,0.0036868192830059997,-0.007327513946680999,0.034996863715379994,0.01607130688956,-0.001056587379017,-0.017403231758150003,-0.003282206791723,-0.003993747286113,-0.007069518238318,0.02185662127192,0.01416452927157,-0.05834218518241,-0.012288741285639998,-0.0050300731669279996,-0.008187340758937,-0.006723287693465,-0.005425213932088,-0.01705357168249,-0.005128716186973,0.013245212607860001,0.001310383208561,-0.011422444950700002,-0.0567096827372,-0.10945558755830001,-0.03562405698188,-0.0014244020698879996,0.03515610279677,0.15217449459470003,-0.0606495307615,-0.02658779316606,-0.09720863658657002,0.01128820284082,0.04713876331786,0.2530690255055,0.0007716307416958,-0.04715513205439,-0.14680690142010003,-0.033335180272790005,0.1597068394049,0.07113268929441001,-0.01893993900081,-0.01086475587141,-0.04255311057525,-0.019029958645380003,-0.028546504510560004,-0.005876733061478001,-0.0032998119682859997,-0.028182855702860003,0.08880511320996001,0.3042917701435,-0.1530777522576,-0.0298095819685,-0.017718401414400002,-0.0137764792254,-0.00321428423787,-0.0013962621971,-0.0008181062920231,-0.0005590687257745,-0.0003506259360579,0.0001762502266995,0.0037749511019699996,0.005510640002716,-0.00119334182957,-0.003868291327387,-0.01143213372337,-0.08955732685764,-0.04296050430922,-0.009938895387465,-0.004086436794699,-0.002190156920858,-0.0013571933358510003,-0.0009210613057082,-0.0006651492703601,-0.0005025001822421,-0.000392832005146,-0.0003154441969362,-0.0002588266706774,-0.0002161703348
Conf1122,0.0267579050532,0.029044468298939998,0.015028306991889999,0.036591854603650005,0.07477830012339,0.01492290529106,0.00608593348153,0.013360678081629999,0.005427710146790999,-0.014344825427610002,-0.07163719563563001,-0.01712927151258,-0.014367388030429999,0.02824552569717,-0.05208623507725001,-0.06252541443397,-0.009671021958838002,0.0016552262759289998,0.02779576858488,0.041398740065339994,0.0038982407030559996,0.02943900487242,0.003607288251196,0.01158709556879,0.02074974960904,0.028083383922159998,0.006795843760011,-0.0025426346435829996,-0.009915872949293001,-0.002086490545244,-0.0019185872474569998,-0.01038358779558,-0.011629835918670001,0.01261362855375,-0.03362584080925,-0.010138532559959999,-0.03014371134319,-0.033427697535599994,-0.01400202592862,-0.01937633975291,-0.003529014007835,-0.0004242826186077,0.00765949458541,0.002585309337527,-0.007505518994220999,-0.03839079745282,-0.0657566357727,-0.028695270932140002,-0.001125967626274,0.032239749659619996,0.03282305684611,-0.0009511697175578,0.02571958294191,-0.058173359990330006,2.8117652046290004e-05,0.02661995283156,0.1572649380036,-0.007023722503853001,-0.05479869399534,-0.09642643829377001,-0.0306124514058,0.14757006269320003,0.07536172758010001,-0.006990566195373,0.006507531199253,-0.03638329338954,-0.012933720358469998,-0.0061823558056140005,-0.0002469827340451,0.0003990506905164,-0.01655678788497,0.1050366698469,0.2390759733275,-0.05157602839448,-0.01488598958288,0.0011484146855839999,0.004126156880513,0.001190315242172,0.0007812598399825,0.0007164633832642,0.0008603142617123,0.001425285864522,0.003626843629619001,0.01878181088684,0.01812090919573,0.002898678293408,0.0017432655980999998,0.001478949052865,-0.07440079632299,-0.026202047601220003,-0.006163415325466999,-0.0024660491424970004,-0.001264674508756,-0.0007445949977253,-0.0004783919109405,-0.0003263799165559,-0.0002326264139439,-0.0001714055466652,-0.0001296293063432,-0.0001001076695452,-7.864443552182e-05
Conf1123,0.008376725325633,0.02130595411441,0.008948009127595,0.01986305921391,0.024413039531220003,0.04693503621157,0.01062031289553,0.0174465444722,0.01058581111722,0.001193683127552,-0.015458365676889999,-0.03472673733745,-0.019077742361000002,0.01534738635832,-0.0072314291862840005,-0.027524424458889998,-0.0028171819827569997,0.003436201421056,0.026989916868310003,0.03755511328065,-0.02301910929023,-0.0009937733372075,0.009325640828808,0.026675122557240003,-0.0008710492571578,0.038657564094309996,0.008806987001394,-0.003310641829396,-0.014859169932020001,-0.002671903462566,-0.0038501116525890004,-0.003696804639737,0.033908885150870004,-0.0034852550876959994,-0.0473237257521,-0.0210166707829,-0.009939667445294,-0.01533305026135,-0.007361442249870999,-4.047463815058e-05,-0.01745579404839,-0.002566864244732,0.0146748890971,0.004364757757329001,-0.0036854225689879998,-0.02119160146922,-0.045099543519059995,-0.013873870223930001,0.0008732983348871,0.02233297865128,0.05512319941119,0.014492017678890001,-0.02290965749785,-0.10015992790819998,0.09529078065265,0.01682763644058,0.024852906468429997,-0.03246960486119,-0.04731216555825,-0.07036052206183001,-0.04620561936995,0.13028426372680002,0.06626442724625,-0.02275586410032,-0.01302235927173,-0.027551330737630005,-0.007170888942955,-0.0017195034917239999,0.001035622475208,0.0034697858677790005,0.008219822876258,0.04416990795833,0.269411720712,-0.155493288939,-0.01539881681799,-0.013177133769169999,-0.01086578612129,-0.0024313707147800004,-0.0009937190135299,-0.0005155685060884,-0.0002429712624792,0.000114619216982,0.001214325492228,0.008376061431064999,0.01262272047038,0.0001277285359739,-0.003088034111861,-0.009623793579409,-0.09356285946996001,-0.04753978691934,-0.01077952233874,-0.004367950663737,-0.0023137195504839996,-0.0014191823927620002,-0.0009543090752449,-0.0006833765765525,-0.0005122583337932,-0.0003975551482882,-0.0003170604111874,-0.0002584764599328,-0.0002145562565756
Conf1124,0.01057302990669,-0.011057206551989999,-0.0009738974295823,-0.008742462708894002,0.021345764190060002,0.1716710562893,0.03036435019532,0.024214556135549997,0.017793859458020003,0.004837066082014,-0.003990892934822,-0.01197501310725,-0.0265187218041,-0.0017693711368789997,-0.08469811095692,-0.1052227481226,-0.01692807678681,0.0018216223212879998,0.030682134771340002,0.047370474094660005,0.02057060659715,0.021520713399400003,-0.007063146688403001,0.03304960525291,0.008081295044264,0.038809926656480004,0.01143375969424,0.004049772825611,0.005846841685929,0.0049897338516420005,0.010504633405649999,0.004596707630018,0.024555176528580004,0.01592860627353,-0.028694292087830003,0.006964239467384,-0.0053605491777739996,-0.035967498154290005,-0.0190966290819,-0.01810100950038,-0.05281941649776001,-0.010453830931350001,0.0036329775010440005,0.00448650751328,-0.0070329863741969995,-0.03003186681729,-0.0965181684746,-0.02465855985954,-0.01158130613511,-0.038763065476919996,0.048499830790339996,0.01271355391716,-0.0368168433472,-0.07981965491074,-0.013506412416629998,0.08711042190874001,0.036962412304260006,-0.03308651171871,-0.046342510849639994,-0.02112018765858,0.08824877604536999,0.06954397540847,0.168031562091,-0.04776205312923999,-0.0170419015735,-0.02727124252519,-0.029377506737210003,0.00920994864849,-0.000161472056033,-0.007254949963345,-0.02247296847592,0.05567313883178,0.07865843413473,-0.044058174356889995,-0.005661200042332,-0.00829498413609,-0.0061114783978000005,-0.0015446288225860001,-0.0006772365358388,-0.0003076343444477,2.138872601371e-05,0.0006234072237313,0.0025170172651919997,0.01366000027244,0.03216581883926,0.002606974690854,-0.0045142355254250005,-0.016662645022009998,-0.08458052664205,-0.07361288464988,-0.014973750084540001,-0.005759483232759,-0.00297226338902,-0.001795179907236,-0.001195135735378,-0.0008500888371663,-0.0006343286381362,-0.0004908187475956,-0.0003907288872649,-0.0003182477077916,-0.0002641317690034
